# This is a continuation of trace file F:\Курсы\FormsHomework\.metadata\trace.log.bak_1
# version: 1.1
# verbose: true
# Time of creation: 2022-08-25 05:35:44.783
| Worker-193: Экспорт ресурсов проекта: HW22 | 2022-08-25 05:35:44.791 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 197 | Processing object: com._1c.g5.v8.dt.form.model.impl.ExtendedTooltipImpl@a1a67d7d |
| Worker-193: Экспорт ресурсов проекта: HW22 | 2022-08-25 05:35:44.791 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 197 | Top object extracted: com._1c.g5.v8.dt.metadata.mdclass.impl.CatalogFormImpl@60785b49 |
| Worker-193: Экспорт ресурсов проекта: HW22 | 2022-08-25 05:35:44.791 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 197 | Processing object: com._1c.g5.v8.dt.form.model.impl.LabelDecorationExtInfoImpl@b0e11e7f |
| Worker-193: Экспорт ресурсов проекта: HW22 | 2022-08-25 05:35:44.792 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 197 | Top object extracted: com._1c.g5.v8.dt.metadata.mdclass.impl.CatalogFormImpl@60785b49 |
| Worker-193: Экспорт ресурсов проекта: HW22 | 2022-08-25 05:35:44.792 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 197 | Processing object: com._1c.g5.v8.dt.form.model.impl.ContextMenuImpl@eeb7ca85 |
| Worker-193: Экспорт ресурсов проекта: HW22 | 2022-08-25 05:35:44.793 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 197 | Top object extracted: com._1c.g5.v8.dt.metadata.mdclass.impl.CatalogFormImpl@60785b49 |
| Worker-193: Экспорт ресурсов проекта: HW22 | 2022-08-25 05:35:44.793 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 197 | Processing object: com._1c.g5.v8.dt.form.model.impl.LabelDecorationExtInfoImpl@1bb18387 |
| Worker-193: Экспорт ресурсов проекта: HW22 | 2022-08-25 05:35:44.793 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 197 | Top object extracted: com._1c.g5.v8.dt.metadata.mdclass.impl.CatalogFormImpl@60785b49 |
| Worker-193: Экспорт ресурсов проекта: HW22 | 2022-08-25 05:35:44.794 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 197 | Processing object: /Объект/Руководитель |
| Worker-193: Экспорт ресурсов проекта: HW22 | 2022-08-25 05:35:44.794 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 197 | Top object extracted: com._1c.g5.v8.dt.metadata.mdclass.impl.CatalogFormImpl@60785b49 |
| Worker-193: Экспорт ресурсов проекта: HW22 | 2022-08-25 05:35:44.795 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 197 | Processing object: com._1c.g5.v8.dt.metadata.mdclass.impl.AdjustableBooleanImpl@ff15818a |
| Worker-193: Экспорт ресурсов проекта: HW22 | 2022-08-25 05:35:44.795 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 197 | Top object extracted: com._1c.g5.v8.dt.metadata.mdclass.impl.CatalogFormImpl@60785b49 |
| Worker-193: Экспорт ресурсов проекта: HW22 | 2022-08-25 05:35:44.796 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 197 | Processing object: com._1c.g5.v8.dt.metadata.mdclass.impl.AdjustableBooleanImpl@37a24c8b |
| Worker-193: Экспорт ресурсов проекта: HW22 | 2022-08-25 05:35:44.796 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 197 | Top object extracted: com._1c.g5.v8.dt.metadata.mdclass.impl.CatalogFormImpl@60785b49 |
| Worker-193: Экспорт ресурсов проекта: HW22 | 2022-08-25 05:35:44.797 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 197 | Processing object: com._1c.g5.v8.dt.metadata.mdclass.impl.AdjustableBooleanImpl@c0e7b78e |
| Worker-193: Экспорт ресурсов проекта: HW22 | 2022-08-25 05:35:44.797 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 197 | Top object extracted: com._1c.g5.v8.dt.metadata.mdclass.impl.CatalogFormImpl@60785b49 |
| Worker-193: Экспорт ресурсов проекта: HW22 | 2022-08-25 05:35:44.798 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 197 | Processing object: com._1c.g5.v8.dt.form.model.impl.FormFieldImpl@8d58048f |
| Worker-193: Экспорт ресурсов проекта: HW22 | 2022-08-25 05:35:44.798 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 197 | Top object extracted: com._1c.g5.v8.dt.metadata.mdclass.impl.CatalogFormImpl@60785b49 |
| Worker-193: Экспорт ресурсов проекта: HW22 | 2022-08-25 05:35:44.798 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 197 | Processing object: com._1c.g5.v8.dt.form.model.impl.FormFieldImpl@29b66c90 |
| Worker-193: Экспорт ресурсов проекта: HW22 | 2022-08-25 05:35:44.799 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 197 | Top object extracted: com._1c.g5.v8.dt.metadata.mdclass.impl.CatalogFormImpl@60785b49 |
| Worker-193: Экспорт ресурсов проекта: HW22 | 2022-08-25 05:35:44.799 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 197 | Processing object: /Объект/СписокДляСогласования/Согласован |
| Worker-193: Экспорт ресурсов проекта: HW22 | 2022-08-25 05:35:44.800 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 197 | Top object extracted: com._1c.g5.v8.dt.metadata.mdclass.impl.CatalogFormImpl@60785b49 |
| Worker-193: Экспорт ресурсов проекта: HW22 | 2022-08-25 05:35:44.800 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 197 | Processing object: com._1c.g5.v8.dt.form.model.impl.AdditionImpl@70cc8a91 |
| Worker-193: Экспорт ресурсов проекта: HW22 | 2022-08-25 05:35:44.800 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 197 | Top object extracted: com._1c.g5.v8.dt.metadata.mdclass.impl.CatalogFormImpl@60785b49 |
| Worker-193: Экспорт ресурсов проекта: HW22 | 2022-08-25 05:35:44.801 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 197 | Processing object: com._1c.g5.v8.dt.form.model.impl.ContextMenuImpl@9d825d91 |
| Worker-193: Экспорт ресурсов проекта: HW22 | 2022-08-25 05:35:44.801 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 197 | Top object extracted: com._1c.g5.v8.dt.metadata.mdclass.impl.CatalogFormImpl@60785b49 |
| Worker-193: Экспорт ресурсов проекта: HW22 | 2022-08-25 05:35:44.802 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 197 | Processing object: com._1c.g5.v8.dt.metadata.mdclass.impl.AdjustableBooleanImpl@db894692 |
| Worker-193: Экспорт ресурсов проекта: HW22 | 2022-08-25 05:35:44.802 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 197 | Top object extracted: com._1c.g5.v8.dt.metadata.mdclass.impl.CatalogFormImpl@60785b49 |
| Worker-193: Экспорт ресурсов проекта: HW22 | 2022-08-25 05:35:44.803 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 197 | Processing object: com._1c.g5.v8.dt.metadata.mdclass.impl.AdjustableBooleanImpl@786d6493 |
